node1,node2
556,4263
556,4292
557,4259
557,4291
558,4288
558,5466
559,4251
559,4259
559,4281
560,566
560,4265
560,4271
561,567
561,4264
561,4270
561,5456
562,565
562,577
562,4267
562,4268
562,4287
563,574
563,578
563,4266
563,4279
563,4286
564,1866
564,4266
564,4269
564,6097
565,562
565,4268
565,7574
566,396
566,560
566,4265
566,4271
567,561
567,570
567,4264
567,4270
567,4272
567,4275
568,571
568,4271
568,4274
568,7572
569,572
569,4254
569,4274
569,4277
570,567
570,573
570,4272
570,4273
570,4275
570,4276
571,568
571,4271
571,4274
571,5455
572,569
572,4255
572,4274
572,4277
573,570
573,4273
573,4276
573,7584
574,563
574,4279
574,7575
575,4267
575,4278
575,4280
575,6096
576,1864
576,4279
576,7167
577,555
577,562
577,1865
577,4267
577,4287
577,6096
578,563
578,4266
578,4286
578,5779
578,7575
579,623
579,4297
579,5951
580,4296
580,4298
580,4340
580,4411
581,687
581,695
581,4297
581,4299
581,4404
582,664
582,688
582,4298
582,4300
582,4403
583,610
583,4299
583,4301
583,4381
584,4300
584,4302
584,4327
584,4391
585,674
585,3365
585,4301
585,8302
586,730
586,1774
586,4304
586,5782
586,5977
587,672
587,1639
587,4303
587,4305
587,4447
587,5781
588,662
588,1638
588,4304
588,4306
588,4389
589,700
589,4305
589,4307
589,4379
589,4417
590,701
590,709
590,4306
590,4308
590,4416
590,4427
591,654
591,710
591,4307
591,4309
591,4372
591,4426
592,655
592,4308
592,4310
592,4371
592,4395
593,679
593,4309
593,7763
594,660
594,3304
594,4312
594,8227
595,652
595,4311
595,4313
595,4370
595,4377
596,653
596,4312
596,4314
596,4325
596,4369
597,607
597,685
597,4313
597,4315
597,4402
598,686
598,693
598,4314
598,4316
598,4401
598,4410
599,666
599,694
599,4315
599,4317
599,4409
600,4316
600,4318
600,4383
600,4405
601,689
601,4317
601,7948
602,612
602,4320
602,4509
602,6616
603,4319
603,4321
603,4329
603,4334
604,617
604,617
604,4320
604,4322
605,609
605,4321
605,4323
605,4334
606,4322
606,4324
606,4324
606,4376
607,121
607,597
607,3709
607,4313
608,691
608,703
608,4382
608,4406
608,4421
609,605
609,659
609,4323
609,4323
610,583
610,4301
611,624
611,6614
612,602
612,4320
612,6617
613,3368
613,4444
613,8303
614,657
614,4375
615,625
615,4343
616,6615
617,604
617,604
617,4320
617,4322
618,1773
618,1803
618,4358
618,5976
618,8305
619,676
619,4393
620,656
620,4374
621,666
621,689
621,4382
621,4406
622,670
622,706
622,4340
622,4388
622,4422
623,579
623,671
623,4297
623,4339
623,4387
624,611
624,669
624,4385
624,6614
625,615
625,4343
625,7941
626,640
626,4332
626,4342
626,6181
627,7767
628,1807
628,6017
629,678
629,698
629,4347
629,4393
629,4415
630,699
630,4346
630,4414
631,1560
631,1647
631,1676
631,4349
631,5822
632,4348
632,5790
633,1973
633,4351
633,4399
633,6204
634,683
634,4350
634,7945
635,780
635,3299
635,4353
635,8222
636,813
636,4352
636,4354
636,4507
636,4532
637,805
637,4353
637,4355
637,4482
637,4540
638,755
638,819
638,4354
638,4356
639,802
639,4355
639,4357
639,4546
640,626
640,4356
640,4529
640,6181
641,1772
641,1772
641,3369
641,4335
641,5975
641,5977
641,6014
642,694
